	GPA Range	Degree	Specialization	GPA	courses
0	4	1	3	4.0720425329656615	CS5422,CS5223,CS4237,CS3281,CS6213,CS6211,CS3282,CS2100,CS2105,CS5250,CS3210
1	4	1	1	4.919583890824431	CS6206,CS3241,CS5237,CS4350,CS3242,CS3281,CS4235,CS6207,CS3218,CS5343,CS6241,CS6212,CS5240,CS6243,CS3225,CS3249,CS4240,CS5246,CS4242
2	4	1	0	4.628680264145447	CS5244,CS6270,CS6234,CS5223,CS3230,CS3284,CS2281,CS6213,CS2100,CS4345,CS5250,CS3210,CS4212
3	4	1	1	4.0188117488139135	CS5422,CS3220,CS3103,CS4224,CS4237,CS5248,CS3281,CS3282,CS4222,CS4231,CS6220,BT5110,CS5321,CS6204
4	3	0	1	3.3409820228183067	CS6206,CS3241,CS5240,CS4350,CS5343,CS6243,CS6241,CS5239,CS3281,CS3249,CS3282,CS4351,CS6213,CS3242,CS4345,CS2106,CS5246,CS5224
5	3	1	7	3.1784165869426464	CS5424,CS4225,CS5425,CS5229,CS4224,CS2220,CS5228,BT5110,CS4220,CS6213,CS2102,CS3223,CS4221,CS6220,CS5322,CS5344
6	3	1	9	3.317800252043293	CS2309,CS2104,CS4215,CS4216,CS3220,CS5218,CS3234,CS5271,CS5214,CS4222,CS6215,CS5215,CS4212,CS4214
7	2	1	3	2.9462304347889217	CS3221,CS4216,CS5339,CS2107,CS5331,CS4257,CS4214,CS1010S,CS5271,CS3234,CS4271,CS3235,CS2104,CS4238,CS4239,CS4215,CS3211,CS5246,CS5215
8	3	0	3	3.08896854240387	CS3243,CS5345,CS3244,CS5228,CS3234,CS5271,CS6244,CS4220,CS5242,CS3216,CS6220,CS4278,CS5215
9	2	0	6	2.253877574198338	CS5424,CS3281,CS5223,CS4237,CS3236,CS3211,CS5239,CS3217,CS5233,CS6213,CS6211,CS2281,CS2100,CS4231,CS4345,CS2106,CS3210,CS3271
10	4	1	5	4.233917059105488	CS5422,CS4344,CS3237,CS6205,CS3281,CS5233,CS4257,CS2100,CS4222,CS3236,CS5330,CS6211,CS2105,CS3220,CS4231,CS5229,CS6280,CS3225,CS5248,CS4234,CS3223
11	2	0	1	2.2791121372747063	CS6206,CS3241,CS2040,CS5237,CS1280,CS6234,CS1010,CS1010E,CS3236,CS3233,CS5236,CS2040C,CS2030,CS2220,CS1281,CS5230,CS3240,CS5234,CS1010J
12	3	1	1	3.604057356326154	CS6206,CS4215,CS4216,CS6202,CS3211,CS5219,CS3212,CS6215,CS5215,CS4214
13	3	1	3	3.7656529465776765	CS4215,CS5424,CS4224,CS2220,CS5228,BT5110,CS3234,CS5242,CS5322,CS5344
14	3	1	4	3.4016020873046147	CS5346,CS3103,CS5223,CS3281,CS5233,CS2100,CS4221,CS6220,CS6207,CS5228,CS2102,CS6211,CS5321,CS5424,CS4225,CS3220,CS6213,CS2010,CS6203
15	4	1	1	4.928491003027894	CS4225,CS3241,CS5425,CS4224,CS2220,CS6280,CS5228,CS6209,CS2102,CS6231,CS4221,CS6220,CS5226,CS5344,CS5231
16	3	1	1	3.96897959543632	CS1010FC/X,CS2040,CS1010E,CS1231,CS5228,CS6211,CS4236,CS1101S,CS2040C,CS5322,CS1020,CS1010J,CS2020
17	2	1	2	2.5196205308548265	CS5223,CS5233,CS1010,CS4223,CS2309,CS1010E,CS6211,CS5424,CS5232,CS3220,CS5272,CS5239,CS3282,CS4231,CS1020,CS2020,CS1010FC/X,CS4237,CS3211,CS6213,CS1010J
18	3	1	1	3.3195348645001808	CS4347,CS4241,CS3271,CS1010S,CS5271,CS3284,CS3217,CS3203,CS3882,CS4211,CS2030,CS2108,CS1281,CS3282,CS6212,CS5241,CS2103T,CS2010,CS3245,CS4249
19	4	0	3	4.551567836840441	CS2104,CS4215,CS1010FC/X,CS2040,CS1010E,CS6202,CS1231,CS3234,CS3211,CS1281,CS5214,CS2040C,CS1010,CS3212,CS6215,CS4212,CS5218,CS1010J
20	3	0	5	3.586589439533387	CS4243,CS3243,CS4216,CS5345,CS5425,CS5339,CS3211,CS4212,CS6244,CS4220,CS6208,CS1020,CS5242,CS4278,CS5215,CS6207,CS5344,CS6222
21	3	0	4	3.376746120992953	CS4243,CS5339,CS2107,CS3244,CS5478,CS4220,CS5340,CS6211,CS4238,CS6220,CS4248,CS6222
22	3	0	1	3.4876662387954758	CS4243,CS3243,CS5345,CS3244,CS5228,CS4244,CS3284,CS5330,CS4220,CS4232,CS5340,CS5242,CS3225,CS6220,BT5110,CS6222
23	3	0	1	3.7647839774168257	CS4225,CS5425,CS2220,CS6280,CS3242,CS2281,CS2102,CS6213,CS5226
24	4	0	7	4.091667139764292	CS4226,CS5425,CS3237,CS3103,CS6270,CS3281,CS4222,CS2100,CS4239,CS5231,CS5321
25	3	1	3	3.7969277547430087	CS6206,CS5425,CS3244,CS5228,CS6244,CS5340,CS4347,CS5244,CS3245,CS4248,CS6222
26	3	0	1	3.213741519796328	CS3201,CS2113,CS3220,CS5272,CS6270,CS6280,CS3234,CS5239,CS2103T,CS3203,CS2281,CS4880,CS4231,CS5226,CS4223,CS4345,CS3882
27	3	1	1	3.630315283992599	CS4216,CS6231,CS5332,CS2113T,CS4214,CS5231,CS3201,CS5271,CS3234,CS6209,CS4271,CS4345,CS6230,CS3283,CS4880,CS4238,CS3282,CS4239,CS3219,CS3211,CS5218
28	4	1	7	4.7085031095236936	CS5238,CS2220,CS5234,CS3236,CS3230,CS5330,CS3233,CS4232,CS4257,CS4231,CS6234,CS5236
29	3	1	6	3.5607952840136177	CS4226,CS5229,CS1231,CS4237,CS3211,CS5248,CS5233,CS2105,CS4222,CS5321
30	4	0	8	4.976955577879781	CS6206,CS5346,CS5238,CS5345,CS5223,CS5249,CS5230,CS4347,CS4242,CS5241
31	3	0	5	3.1160267420433434	CS4246,CS5249,CS5331,CS3284,CS5248,CS2108,CS4235,CS5342,CS4231,CS4222,CS5344,CS5215,CS6207,CS4248
32	4	1	3	4.934958934975733	CS3243,CS5424,CS5346,CS5222,CS5215,CS5233,CS5332,CS6213,CS5242,CS3210,CS4231,CS5244,CS5250,CS5344,CS5224
33	3	0	3	3.0180774709289704	CS5237,CS2107,CS6205,CS4235,CS4257,CS4226,CS5322,CS3236,CS6211,CS4271,CS5439,CS6230,CS4238,CS1281,CS4231,CS4239,CS5230,CS4234,CS4236,CS5234
34	4	1	1	4.334281987789892	CS4225,CS2220,CS6280,CS5271,CS4220,CS2100,CS6220,CS4345,CS5344
35	3	0	5	3.6180044071886863	CS3202,CS3201,CS2113,CS5346,CS5232,CS3234,CS5241,CS2103T,CS3203,CS3217,CS5342,CS5244,CS3882
36	3	1	4	3.7221617771977087	CS5346,CS5345,CS3283,CS6209,CS4242,CS5476,CS2108,CS2100,CS6212,CS5342,CS6230,CS6207,CS4248
37	3	0	1	3.994046582619144	CS1010S,CS2040,CS2030,CS6244,CS1281,CS2040C,CS5215,CS2020
38	2	1	8	2.611138354347478	CS1010S,CS4245,CS6240,CS3283,CS5249,CS2108,CS6212,CS5244,CS5246,CS4242,CS5241
39	3	0	2	3.243591395410262	CS3202,CS5425,CS5345,CS5339,CS3244,CS5228,CS3234,CS5478,CS3217,CS4220,CS3216,CS5242,CS4271,BT5110,CS2113T,CS4218,CS5215,CS6207
40	3	0	0	3.934858175034324	CS5339,CS4350,CS5340,CS4235,CS4220,CS5242,CS6220,CS4248,CS5228,CS6208,CS3243,CS4243,CS3244,CS6241,CS6222,CS5240,CS4247,CS6243,CS4240,BT5110,CS4278,CS5215,CS4249
41	4	1	2	4.37831185772169	CS4243,CS4225,CS4216,CS5345,CS3247,CS5424,CS4239,CS2220,CS6280,CS5271,CS6213,CS3223,CS6220,CS5226,CS5322,CS6215
42	4	0	8	4.258560962704892	CS6206,CS3221,CS3241,CS1010E,CS2107,CS5249,CS2108,CS4257,CS4271,CS5244,CS3245,CS6230,CS5241
43	3	0	9	3.569171137222685	CS3247,CS5237,CS5346,CS4224,CS1280,CS3281,CS4221,CS1010,CS6234,CS1020E,CS2309,CS1010S,CS3201,CS5425,CS1010E,CS3882,CS5424,CS4225,CS4211,CS1231,CS4239,CS1020,CS6203
44	3	1	3	3.5504213269644826	CS2113,CS4350,CS3219,CS2107,CS5331,CS5476,CS3281,CS4351,CS4257
45	3	0	9	3.5397629888577056	CS6206,CS3247,CS5237,CS3241,CS5238,CS5223,CS1010,CS1020E,CS1010S,CS1010E,CS6211,CS5321,CS4243,CS3230,CS1281,CS4231,CS1010FC/X,CS5229,CS4237,CS6243,CS3225,CS3240,CS3249,CS6213,CS2010,CS5246
46	3	0	8	3.3527170972487568	CS3221,CS5237,CS2107,CS4238,CS4257,CS4271,CS4236,CS5234,CS5439
47	4	1	7	4.245251228041706	CS5346,CS4224,CS5238,CS1101S,CS4257,CS6220,CS1010,CS5344,CS2309,CS1010S,CS5425,CS6211,CS5321,CS6204,CS2030,CS5272,CS3205,CS1010FC/X,CS2010,CS6203
48	3	0	8	3.1219420606432697	CS5238,CS4350,CS5223,CS3281,CS6234,CS4245,CS3236,CS5330,CS5236,CS4345,CS5424,CS5345,CS3220,CS5343,CS3230,CS4237,CS5230,CS3211,CS3225,CS4234,CS3233,CS5246,CS6203
49	3	1	2	3.5889839535569568	CS3241,CS2113,CS5343,CS5239,CS3242,CS3240,CS4351,CS4345,CS3271,CS5218
50	3	0	6	3.5575138687356227	CS6206,CS2107,CS4220,CS4347,CS2281,CS4221,CS2106,CS5344,CS5231,CS5222,CS5250,CS6230,CS3218,CS4225,CS5239,CS3211,CS5476,CS4236,CS5246,CS5218
51	2	0	4	2.8860297922177764	CS5424,CS4226,CS5229,CS6270,CS5248,CS5233,CS6213,CS6231,CS2100,CS2040C,CS2105,CS5236,CS6204
52	3	0	6	3.707413537402618	CS5424,CS3241,CS5240,CS5422,CS3103,CS3247,CS4247,CS5223,CS6203,CS3242,CS3281,CS4235,CS2102,CS2100,BT5110,CS3218,CS5321
53	2	0	1	2.4343148521262177	CS6206,CS4215,CS4243,CS3201,CS6280,CS3205,CS3234,CS5271,CS3281,CS2010,CS4271,CS4239,CS2113T
54	3	1	6	3.7890415186274486	CS4215,CS5424,CS6270,CS4238,CS6211,CS6231,CS4231,CS2105,CS5439
55	3	1	9	3.782069954828064	CS3237,CS4344,CS3103,CS6270,CS6205,CS5233,CS2100,CS4223,CS6211,CS5321,CS6204,CS5424,CS3220,CS3282,CS4231,CS5229,CS4237,CS3211,CS6213
56	3	1	2	3.41603817213153	CS5339,CS4220,CS5242,CS6220,CS5344,CS6207,CS4248,CS5425,CS5228,CS4244,CS4246,CS4243,CS5345,CS5478,CS5214,CS6222,CS6244,BT5110,CS5215
57	3	1	9	3.606940664141169	CS1010FC/X,CS1010E,CS4224,CS6280,CS3217,CS2010,CS5214,CS6215,CS4214
58	3	0	2	3.567365538569578	CS6207,CS4239,CS3283,CS5249,CS4242,CS5331,CS3284,CS2108,CS4347,CS3235,CS4236,CS6231,CS5342,CS5244,CS3245,CS4271,CS4248,CS5241
59	3	1	1	3.9288828303570087	CS2220,CS1280,CS2010,CS1101S,CS2040C,CS6234,CS3233,CS1010J
60	2	0	1	2.10448157201928	CS6206,CS3247,CS5237,CS5240,CS6240,CS5249,CS6243,CS3203,CS3249,CS4235,CS4351,CS3240,CS5342,CS5244,CS3218,CS4249
61	3	0	6	3.895100795361553	CS4235,CS6207,CS4248,CS4244,CS5271,CS6230,CS4246,CS4243,CS4211,CS5345,CS5478,CS5239,CS4239,CS6222,CS3219,CS4247,CS3211,CS6244,CS4240,CS4278
62	3	0	4	3.2248731330890488	CS4243,CS3241,CS5237,CS5345,CS5238,CS5343,CS6234,CS6243,CS3249,CS4351,CS4234,CS5236,CS5244,CS5234,CS3218,CS6207
63	3	1	2	3.721481431489969	CS5240,CS2107,CS5331,CS6211,CS4257,CS4240,CS6231,CS5332,CS4249
64	3	0	5	3.2461050338022237	CS6206,CS3221,CS5424,CS5229,CS4350,CS2107,CS5331,CS6209,CS3240,CS4351,CS6211,CS6231,CS4239,CS3235,CS5231,CS4249
65	4	1	2	4.936755922875489	CS4245,CS5345,CS6207,CS2030,CS3219,CS4350,CS1010,CS3230,CS5330,CS3240,CS3225,CS4235,CS1281,CS5342,CS4231,CS4241,CS4242,CS4248
66	4	0	3	4.383299745613462	CS4216,CS3234,CS5215,CS3212,CS6215,CS4212,CS5218,CS4214
67	3	0	8	3.1202171202367204	CS3243,CS5425,CS6270,CS2220,CS3244,CS5249,CS5478,CS4220,CS4232,CS4271,CS6220,CS4248,CS6204
68	2	1	5	2.846510517723444	CS2104,CS3202,CS4245,CS3201,CS4224,CS5272,CS3219,CS6240,CS4242,CS2281,CS6220,CS4239,CS5250,CS2113T,CS3271,CS4212,CS6207,CS3882
69	3	0	6	3.443318001457184	CS6280,CS5230,CS3230,CS3225,CS6220,CS4221,CS3223,CS5344
70	3	0	4	3.4937513725255163	CS4215,CS2104,CS6202,CS3234,CS5271,CS5222,CS5219,CS3281,CS2281,CS6213,CS3211,CS5214,CS4231,CS2106,CS3210,CS6215,CS5224
71	3	1	9	3.7027491072994048	CS3220,CS1280,CS4237,CS4242,CS5222,CS3282,CS4347,CS2100,CS4231,CS2106,CS5250,CS3210,CS3245,CS4248
72	3	0	1	3.828697092663981	CS2309,CS1010FC/X,CS5346,CS5232,CS2030,CS4211,CS1280,CS4241,CS4235,CS1101S,CS4347,CS2040C,CS5244,CS2113T,CS4248,CS1010J
73	3	0	1	3.228071160308588	CS2104,CS5425,CS4216,CS4218,CS3205,CS5271,CS5331,CS5219,CS6244,CS4271,CS5214,CS3235,CS6215,CS4212,CS4214
74	2	1	1	2.1066993591349528	CS2309,CS6206,CS3247,CS2104,CS5345,CS4350,CS1280,CS3240,CS1101S,CS2010,CS6212,CS6220,BT5110,CS2040C,CS4242,CS1010J,CS2103T,CS1020E
75	3	1	4	3.0810231172824194	CS3221,CS1010S,CS2040,CS2030,CS1231,CS1010,CS5331,CS5239,CS5332,CS6211,CS4257,CS2010,CS4271,CS4239,CS4236,CS1010J,CS1020E
76	3	0	5	3.2900170568827445	CS3243,CS5229,CS5223,CS5228,CS3211,CS5239,CS5222,CS5248,CS2281,CS5340,CS3282,CS6220,CS4241,BT5110,CS4246,CS4242
77	3	1	6	3.2016966683588395	CS3221,CS2107,CS5331,CS3284,CS5476,CS4238,CS6211,CS6231,CS4231,CS4239,CS6230,CS5231
78	3	0	2	3.9887151738871096	CS2309,CS1010FC/X,CS2040,CS1010S,CS1231,CS2030,CS1280,CS2010,CS2040C,CS1010J,CS2020
79	1	0	0	1.3486711891180858	CS3221,CS5234,CS5242,CS6231,CS6220,CS2113T,CS6207,CS4248,CS6209,CS6208,CS6211,CS5236,CS2113,CS5232,CS5272,CS3244,CS4234,CS4236,CS3233,CS5215
80	3	0	5	3.7325755360045263	CS5424,CS4226,CS5422,CS3237,CS1280,CS4237,CS5248,CS3281,CS6213,CS6211,CS3282,CS2100,CS2105,CS5321,CS6204
81	3	1	9	3.5856390677117025	CS2309,CS4243,CS5240,CS2040,CS4350,CS5343,CS6241,CS4238,CS1101S,CS4236,CS5246
82	2	0	1	2.6351655844182607	CS2309,CS5424,CS5346,CS5345,CS1280,CS1281,CS6211,CS3235,CS5332,CS5322,CS5344
83	4	0	1	4.957803159446349	CS1010S,CS1010E,CS1231,CS1280,CS5228,CS5478,CS1281,CS1101S,CS5215
84	2	1	1	2.9402793851528304	CS3221,CS5439,CS2107,CS5331,CS6209,CS5476,CS4238,CS4236,CS6231,CS5242,CS5332,CS5322,CS4271,CS6230,CS4212,CS5231
85	3	1	3	3.734872186968059	CS3283,CS5223,CS6280,CS4237,CS5222,CS6213,CS4347,CS6212,CS5224
86	3	0	1	3.2223105692963863	CS3247,CS3221,CS5240,CS4243,CS5343,CS6243,CS6241,CS3242,CS3249,CS4235,CS3240,CS6231,CS4257,CS4236,CS5322,CS5246,CS5215,CS4249
87	1	1	2	1.975260453192456	CS3221,CS4245,CS5346,CS6202,CS4239,CS3212,CS3284,CS4347,CS3235,CS6212,CS5332,CS3245,CS5246,CS5218
88	2	0	5	2.5463164465263217	CS3221,CS2107,CS5233,CS3271,CS3201,CS3284,CS4271,CS3235,CS2113,CS4880,CS4238,CS3282,CS3216,CS4239,CS2103T,CS3219,CS6280,CS5322,CS5231
89	3	1	2	3.840440593821009	CS1010S,CS5238,CS3244,CS3236,CS4244,CS4220,CS6208,CS4232,CS5242,CS5340,CS5234
90	3	0	2	3.8379743713284302	CS4350,CS4247,CS5343,CS5249,CS5230,CS6241,CS3281,CS3249,CS4271,CS4249
91	3	0	0	3.0991696823471817	CS1101S,CS2100,CS6234,CS4223,CS5344,CS6207,CS1010S,CS1010E,CS3236,CS4244,CS2040C,CS4246,CS5424,CS1231,CS2220,CS3230,CS4231,CS4239,CS1010FC/X,CS5230,CS6213,CS2010
92	3	1	9	3.0616754869300933	CS5238,CS5223,CS6205,CS5233,CS3281,CS4220,CS2100,CS4221,CS4222,CS6234,CS4223,CS5330,CS5236,CS5321,CS2220,CS4231,CS5230,CS3225,CS5248,CS6213,CS3233
93	4	1	3	4.9665387575197935	CS4243,CS5240,CS2107,CS6209,CS3230,CS4238,CS4347,CS6211,CS4257,CS4271,CS6230,CS4231,CS5322,CS3235,CS5439
94	4	1	2	4.590146364835244	CS5249,CS4220,CS4235,CS4347,CS6220,CS4241,CS4278,CS5228,CS3245,CS4243,CS3243,CS5345,CS6212,CS5244,CS6222,CS6244,BT5110,CS5246,CS5215,CS4242
95	3	1	1	3.0087320163211144	CS5346,CS4224,CS2107,CS6231,CS4257,CS5344,CS6207,CS5322,CS6209,CS6211,CS4271,CS3235,CS2220,CS4238,CS4239,CS5476,CS4236,CS3223,CS5231
96	4	0	5	4.872542825909291	CS3247,CS5237,CS3241,CS4350,CS3281,CS5233,CS4235,CS4351,CS2100,CS3218,CS5343,CS6241,CS4880,CS4231,CS6222,CS5240,CS4247,CS5248,CS3240,CS3249,CS5246
97	3	1	8	3.5578482019136186	CS4243,CS3241,CS5237,CS4350,CS5343,CS6280,CS6241,CS6243,CS3242,CS3249,CS4235,CS4351,CS5322,CS6215,CS3218,CS4214,CS4249
