YEAR DAY  RAD_AU  SE_LAT  SE_LON
2000   1    0.98    -0.0    99.9
2000   2    0.98    -0.0   100.9
2000   3    0.98    -0.0   101.9
2000   4    0.98    -0.0   102.9
2000   5    0.98    -0.0   103.9
2000   6    0.98    -0.0   105.0
2000   7    0.98    -0.0   106.0
2000   8    0.98    -0.0   107.0
2000   9    0.98    -0.0   108.0
2000  10    0.98    -0.0   109.0
2000  11    0.98    -0.0   110.1
2000  12    0.98    -0.0   111.1
2000  13    0.98    -0.0   112.1
2000  14    0.98    -0.0   113.1
2000  15    0.98    -0.0   114.1
2000  16    0.98    -0.0   115.2
2000  17    0.98    -0.0   116.2
2000  18    0.98    -0.0   117.2
2000  19    0.98    -0.0   118.2
2000  20    0.98    -0.0   119.2
2000  21    0.98    -0.0   120.3
2000  22    0.98    -0.0   121.3
2000  23    0.98    -0.0   122.3
2000  24    0.98    -0.0   123.3
2000  25    0.98    -0.0   124.3
2000  26    0.98    -0.0   125.3
2000  27    0.98    -0.0   126.4
2000  28    0.98    -0.0   127.4
2000  29    0.98    -0.0   128.4
2000  30    0.98    -0.0   129.4
2000  31    0.99    -0.0   130.4
2000  32    0.99    -0.0   131.4
2000  33    0.99    -0.0   132.4
2000  34    0.99    -0.0   133.5
2000  35    0.99    -0.0   134.5
2000  36    0.99    -0.0   135.5
2000  37    0.99    -0.0   136.5
2000  38    0.99    -0.0   137.5
2000  39    0.99    -0.0   138.5
2000  40    0.99    -0.0   139.5
